NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Joe Mixon	'+200	A	CIN	BUF	11th	rush_yds	47.5	56.9	55.36 - 61.0	42.12 - 73.71	53%	33%	39,27,65,21,96,20,153,27,58,45,78,61,24,57,82	81%	-125	-105
Joe Mixon	'+200	A	CIN	BUF	4th	rush_att	12.5	14.7	13.91 - 17.0	11.88 - 18.0	53%	33%	11,11,16,11,14,7,22,8,17,8,14,24,12,19,27	81%	-130	'+100
Samaje Perine	'+200	A	CIN	BUF	11th	rush_yds	13.5	23.4	28.23 - 7.5	21.44 - 25.5	53%	33%	3,18,3,24,22,106,58,30,51,7,0,5,17,0,47,2,4	40%	-115	-115
Tyler Boyd	'+200	A	CIN	BUF	13th	rec_yds	36.5	46.4	51.38 - 30.0	41.33 - 52.0	53%	33%	26,51,21,35,0,60,16,42,44,38,155,66,32,47,105,17,33	56%	-125	-105
Isaiah Mckenzie	-240	H	BUF	CIN	23rd	rec_yds	19.5	28.2	24.83 - 41.67	34.62 - 20.86	53%	33%	19,0,24,21,44,96,0,37,12,8,9,21,76,37,19	8%	-120	-110
Evan Mcpherson	'+200	A	CIN	BUF		fgm	1.5	1.5	1.46 - 1.5	1.67 - 1.25	53%	33%	1,2,1,2,1,2,2,3,0,0,0,1,1,2,2,3,2	0%	-120	-110
Tony Pollard	'+170	A	DAL	SF	2nd	rush_att	11.5	12.2	11.92 - 13.0	13.75 - 10.89	53%	33%	15,7,9,19,10,12,18,15,22,14,12,11,8,8,13,9,6	20%	-135	'+105
Hayden Hurst	'+200	A	CIN	BUF	13th	rec_yds	33.5	32.8	29.4 - 41.25	33.14 - 32.43	50%	33%	45,14,12,57,28,35,42,48,21,53,27,7,24,46	17%	-115	-115
Germaine Pratt	'+200	A	CIN	BUF	8th	tackles_combined	6.5	6.7	6.42 - 7.5	7.75 - 5.62	50%	33%	8,4,3,9,5,4,6,8,1,9,6,14,8,9,5,8	43%	-135	'+105
Tremaine Edmunds	-240	H	BUF	CIN	19th	tackles_combined	7.5	7.6	8.09 - 6.0	8.43 - 6.86	50%	33%	5,7,9,8,7,6,3,10,16,10,9,5,2,10	47%	-125	-105
Ezekiel Elliott	'+170	A	DAL	SF	20th	rec_yds	4.5	6.3	7.17 - 3.75	4.25 - 8.38	50%	33%	9,0,0,6,13,19,14,3,5,0,5,0,32,2,-4,-3	76%	-120	-110
Ty Hilton	'+170	A	DAL	SF	20th	rec_yds	26.5	36.0	41.67 - 19.0	30.67 - 52.0	50%	33%	23,19,50,52	0%	-130	'+100
Charvarius Ward	-200	H	SF	DAL	25th	tackles_combined	4.5	5.0	4.86 - 5.5	5.5 - 4.6	50%	33%	3,2,6,3,6,8,1,5,10,2,6,10,2,4,4,8,8,2	54%	'+120	-150
Brett Maher	'+170	A	DAL	SF		fgm	1.5	1.6	1.92 - 0.8	1.67 - 1.56	50%	33%	0,0,2,4,2,2,0,0,4,0,0,1,1,3,4,3,2,1	0%	-110	-120
Josh Allen	-240	H	BUF	CIN	23rd	pass_yds	279.5	272.6	264.29 - 311.67	261.5 - 282.56	47%	33%	352,254,172,304,147,223,253,197,330,205,218,329,424,213,400,317,297	35%	-115	-115
Josh Allen	-240	H	BUF	CIN	11th	pass_cmp	22.5	22.5	20.93 - 29.67	24.12 - 21.0	47%	33%	23,19,15,25,16,22,24,18,29,18,13,27,20,19,42,26,26	53%	-120	-110
Josh Allen	-240	H	BUF	CIN	20th	pass_att	35.5	35.6	33.29 - 46.67	38.12 - 33.44	47%	33%	39,31,26,40,27,33,42,27,43,34,25,40,31,36,63,38,31	47%	-130	'+100
Tee Higgins	'+200	A	CIN	BUF	13th	rec_yds	64.5	71.1	76.58 - 49.0	85.38 - 54.71	47%	33%	37,7,128,33,35,114,148,60,49,93,47,124,93,71,27	43%	-115	-115
