EV	Player	Prop	Team	FD	DK	Bet365	MGM	Kambi	CZ	BR
1.7	ayden williams	attd	mississippi @ tulane	320	320	-	320	-	-	-
1.6	terrance ferguson	attd	oregon @ texas tech	210	215	-	210	-	-	-
1.6	sam hartman	attd	notre dame @ nc state	210	215	-	210	-	-	-
1.6	kaedin robinson	attd	appalachian state @ north carolina	220	215	-	-	-	-	-
1.5	tetairoa mcmillan	attd	arizona @ mississippi state	105	-	-	105	-	-	-
1.5	sam jackson v	attd	auburn @ california	230	225	-	-	-	-	-
1.5	justin robinson	attd	arizona @ mississippi state	-155	-	-	-155	-	-	-
1.5	jahmal banks	attd	vanderbilt @ wake forest	-155	-	-	-155	-	-	-
1.5	cornelius johnson	attd	unlv @ michigan	-155	-	-	-155	-	-	-
1.5	ashton jeanty	attd	ucf @ boise state	-145	-140	-	-	-	-	-
1.4	thomas fidone	attd	nebraska @ colorado	-	265	-	260	-	-	-
1.4	kyle ford	attd	ucla @ san diego state	250	240	-	250	-	-	-
1.4	kobe paysour	attd	appalachian state @ north carolina	-230	-220	-	-	-	-	-
1.4	jaxson dart	attd	mississippi @ tulane	120	115	-	115	-	-	-
1.4	hayden rucci	attd	wisconsin @ washington state	260	255	-	250	-	-	-
1.4	drae mccray	attd	oregon @ texas tech	115	115	-	-	-	-	-
1.4	dominic richardson	attd	utah @ baylor	110	100	-	110	-	-	-
1.4	brenden rice	attd	stanford @ usc	-160	-165	-	-165	-	-	-
1.4	ajay allen	attd	texas a&m @ miami florida	-	270	-	275	-	-	-
1.3	joquavious marks	attd	arizona @ mississippi state	-300	-	-	-300	-	-	-
1.3	jaden rashada	attd	oklahoma state @ arizona state	270	280	-	280	-	-	-
1.2	ucla defense	attd	ucla @ san diego state	320	320	-	325	-	-	-
1.2	roman wilson	attd	unlv @ michigan	-240	-	-	-250	-	-	-
1.2	phil jurkovec	attd	cincinnati @ pittsburgh	330	-	-	-	-	-	-
1.2	lawrence keysi	attd	mississippi @ tulane	-	-155	-	-160	-	-	-
1.2	jj mccarthy	attd	unlv @ michigan	155	-	-	155	-	-	-
1.1	simeon price	attd	arizona @ mississippi state	175	-	-	175	-	-	-
1.1	rahmir johnson	attd	nebraska @ colorado	180	175	-	175	-	-	-
1.1	max klare	attd	purdue @ virginia tech	370	-	-	375	-	-	-
1.1	jordan travis	attd	southern miss @ florida state	-170	-	-	-175	-	-	-
1.1	jonah coleman	attd	arizona @ mississippi state	360	-	-	360	-	-	-
1.1	benjamin yurosek	attd	stanford @ usc	170	160	-	170	-	-	-
1.0	drake dabney	attd	utah @ baylor	200	190	-	200	-	-	-
0.9	rj harvey	attd	ucf @ boise state	-200	-195	-	-	-	-	-
0.9	jalen mayden	attd	ucla @ san diego state	220	215	-	220	-	-	-
0.9	jaiden thomas	attd	unlv @ michigan	480	-	-	475	-	-	-
0.9	chez mellusi	attd	wisconsin @ washington state	125	125	-	-	-	-	-
0.8	rome odunze	attd	tulsa @ washington	-700	-	-	-750	-	-	-
0.8	jalynn polk	attd	tulsa @ washington	-310	-	-	-300	-	-	-
0.7	trey benson	attd	southern miss @ florida state	-230	-	-	-225	-	-	-
