Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
10.03 ADP	rush_yd	687.4	-	-	o650.5 -115/-115	-	o625.5 105/-130	-	786.1	-
	rush_td	5.3	-	-	o4.5 -135/105	o4.5 -115/-105	-	-	7.0	-
	rec	15.2	-	-	-	-	-	-	15.2	-
	rec_yd	132.0	-	-	-	-	-	-	132.0	-
	rec_td	0.4	-	-	-	-	-	-	0.4	-

Jk Dobbins
115.37 FPTS	rush_att	128.3	-	-	-	-	-	-	128.3	-
11.12 ADP	rush_yd	547.8	-	-	o550.5 -125/-105	-	-	-	545.1	-
	rush_td	3.6	-	-	o3.5 -115/-115	-	-	-	3.8	-
	rec	23.9	-	-	-	-	-	-	23.9	-
	rec_yd	180.4	-	-	-	-	-	-	180.4	-
	rec_td	1.5	-	-	-	-	-	-	1.5	-

Ty Chandler
114.47 FPTS	rush_att	145.5	-	-	-	-	-	-	145.5	-
13.03 ADP	rush_yd	595.3	-	-	-	-	-	-	595.3	-
	rush_td	4.3	-	-	-	-	-	-	4.3	-
	rec	20.7	-	-	-	-	-	-	20.7	-
	rec_yd	151.9	-	-	-	-	-	-	151.9	-
	rec_td	0.6	-	-	-	-	-	-	0.6	-

Tyler Allgeier
113.93 FPTS	rush_att	134.8	-	-	-	-	-	-	134.8	-
14.08 ADP	rush_yd	556.4	-	-	-	-	-	-	556.4	-
	rush_td	3.9	-	-	-	-	-	-	3.9	-
	rec	21.4	-	-	-	-	-	-	21.4	-
	rec_yd	169.9	-	-	-	-	-	-	169.9	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Rico Dowdle
113.63 FPTS	rush_att	144.6	-	-	-	-	-	-	144.6	-
12.12 ADP	rush_yd	551.1	-	-	-	-	-	-	551.1	-
	rush_td	3.7	-	-	-	-	-	-	3.7	-
	rec	22.4	-	-	-	-	-	-	22.4	-
	rec_yd	173.2	-	-	-	-	-	-	173.2	-
	rec_td	1.3	-	-	-	-	-	-	1.3	-

Antonio Gibson
112.55 FPTS	rush_att	116.2	-	-	-	-	-	-	116.2	-
13.07 ADP	rush_yd	443.3	-	-	-	-	-	-	443.3	-
	rush_td	2.3	-	-	-	-	-	-	2.3	-
	rec	37.7	-	-	-	-	-	-	37.7	-
	rec_yd	283.7	-	-	-	-	-	-	283.7	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Chuba Hubbard
111.43 FPTS	rush_att	139.9	-	-	-	-	-	-	139.9	-
12.07 ADP	rush_yd	563.2	-	-	-	-	-	-	563.2	-
	rush_td	3.6	-	-	-	-	-	-	3.6	-
	rec	25.6	-	-	-	-	-	-	25.6	-
	rec_yd	177.1	-	-	-	-	-	-	177.1	-
	rec_td	0.5	-	-	-	-	-	-	0.5	-

Zach Charbonnet
111.33 FPTS	rush_att	115.3	-	-	-	-	-	-	115.3	-
11.08 ADP	rush_yd	498.9	-	-	-	-	-	-	498.9	-
	rush_td	3.0	-	-	-	-	-	-	3.0	-
	rec	32.8	-	-	-	-	-	-	32.8	-
	rec_yd	222.4	-	-	-	-	-	-	222.4	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Blake Corum
106.77 FPTS	rush_att	130.6	-	-	-	-	-	-	130.6	-
10.08 ADP	rush_yd	524.5	-	-	-	o500.5 -110/-110	-	-	548.5	-
	rush_td	4.2	-	-	-	-	-	-	4.2	-
	rec	19.5	-	-	-	-	-	-	19.5	-
	rec_yd	151.7	-	-	-	-	-	-	151.7	-
	rec_td	0.7	-	-	-	-	-	-	0.7	-

Khalil Herbert
105.25 FPTS	rush_att	147.9	-	-	-	-	-	-	147.9	-
16.04 ADP	rush_yd	597.0	-	-	-	-	-	-	597.0	-
	rush_td	3.4	-	-	-	-	-	-	3.4	-
	rec	16.6	-	-	-	-	-	-	16.6	-
	rec_yd	114.5	-	-	-	-	-	-	114.5	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Trey Benson
104.91 FPTS	rush_att	130.8	-	-	-	-	-	-	130.8	-
