EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
-41.3	-	850 DK	11%	BOS @ TOR	Wilyer Abreu	sb	o 0.5	'+750	-	'+850/-1800	-	-	-	-	0%	0%		6th	14th
-41.4	-	580 FD	15%	DET @ LAA		f5_total	o 8.5	'+580	-	-	-	-	-	-	0%	0%		0	0
-41.4	-	1300 DK	7%	COL @ SF	Luis Matos	sb	o 0.5	'+920	-	'+1300/-3500	-	-	-	-	0%	0%		27th	25th
-41.5	-	850 FD	11%	WSH @ PHI	Nick Castellanos	tb	o 4.5	'+850	-	-	-	-	-	-	0%	0%	1,0,1,3,1,0,2,0,1,3,1,0,1,3,0,2,1,1,2,2,0,1,0,1,1,1,2,1,0,1	22nd	25th
-41.5	-	850 FD	11%	CHC @ PIT	Miguel Amaya	rbi	o 1.5	'+850	-	'+750	-	-	-	-	18%	0%	1,5,1,0,0,0,1,0,0,3,0,1,0,0,2,0,0	16th	20th
-41.5	-	850 FD	11%	CHC @ PIT	Jared Triolo	rbi	o 1.5	'+850	-	'+750	-	-	-	-	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	18th	8th
-41.5	-	850 FD	11%	CHC @ PIT	Ian Happ	tb	o 4.5	'+850	-	-	-	-	-	-	0%	0%	1,1,2,0,0,1,0,0,2,2,1,1,2,0,1,0,3,0,1,1,3,3,0,2,4,2,2,0,0,2,2	16th	20th
-41.5	-	850 FD	11%	ATH @ TEX	Jake Burger	tb	o 4.5	'+850	-	-	-	-	-	-	0%	0%	0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,3,1,0,0,0,1,0,0,1,0,1,1,2,0	27th	23rd
-41.6	-	1100 DK	8%	ATH @ TEX	Jhonny Pereda	hr	o 0.5	'+1060	-	'+1100	'+1050/-2500	-	-	650	0%	0%	0,0,0,0,0,0,0	4th	25th
-41.7	-	850 DK	11%	WSH @ PHI	Jt Realmuto	sb	o 0.5	'+800	-	'+850/-1600	-	-	-	-	0%	0%		13th	20th
