NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Cj Cron	1B	R	4	COL	@	LAD	23rd	4.25	Grove	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,0,1,1,2	60%	0.59	45%	16	50%	'+160	-220
Nick Gordon	2B	L	6	MIN	@	MIA	21st	4.5	Cueto	R	.167 1-6, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	1,0,0,0	25%	0.51	45%	0	0%	-125	-110
Yan Gomes	C	R	-	CHC	@	CIN	24th	4.0	Overton	R	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,1,0	33%	0.53	40%	8	25%	-125	-105
Brandon Marsh	CF	L	9	PHI	@	NYY	14th	5.33	Cortes	L		1b	0.5	2,0,2	67%	0.53	40%	1	0%	'+145	-195
Carlos Santana	1B	S	4	PIT	@	BOS	4th	7.33	Crawford	R		1b	0.5	0,0,2,0	25%	0.38	28%	0	0%	'+150	-205
Eugenio Suarez	3B	R	4	SEA	v	LAA	8th	6.67	Detmers	L	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	2,2,0,1,1	80%	0.47	37%	16	38%	'+145	-195
Shohei Ohtani	DH	L	3	LAA	@	SEA	28th	3.5	Kirby	R	.455 5-11, 0 HR, 2 RBI, 1 BB, 1 SO	1b	0.5	0,0,2,1	50%	0.57	48%	18	50%	'+125	-165
Ha Seong Kim	2B	R	9	SD	v	ARI	24th	4.0	Nelson	R		1b	0.5		0%	0.58	50%	17	59%	'+135	-180
Nick Ahmed	SS	R	7	ARI	@	SD	27th	3.75	Weathers	L	.500 1-2, 0 HR, 1 RBI, 0 BB, 0 SO	1b	0.5	2,1,0,1	75%	0.41	41%	0	0%	'+140	-185
Giancarlo Stanton	RF	R	4	NYY	v	PHI	15th	5.0	Walker	R	.400 4-10, 1 HR, 3 RBI, 0 BB, 2 SO	1b	0.5	0,0,0,1	25%	0.42	32%	0	0%	'+150	-205
