EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi
-3.1	-	-800 MGM	malta @ ukraine	1h_total	u 2.5	630/-1250	-	475/-800	-	550/-1000	-	550/-1000	-	-
-3.1	-	-8000 FD	lithuania @ hungary	1h_total	u 3.5	2700/-8000	-	1800/-15000	-	2500/-12500	-	-	-	-
-3.1	-	140 BV	haverfordwest @ penybont	home_total	o 1.5	-	'+125/-170	-	'+140/-185	-	-	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-3.2	-	-280 FD	uruguay @ brazil	corners	o 6.5	-280/198	-	-350/220	-	-	-	-	-	-
-3.2	-	-625 BV	sporting sj @ municipal grecia	away_total	o 0.5	-770/470	-	-	-625/+385	-	-	-	-	-
-3.2	-	-275 MGM	serbia @ montenegro	1h_total	o 0.5	-300/220	-	-275/190	-	-300/220	-	-335/230	-	-
-3.2	-	-5000 FD	serbia @ montenegro	1h_home_total	u 1.5	1900/-5000	-	1550/-10000	-	2000/-8000	-	-	-	-
-3.2	-	-1400 MGM	peru @ argentina	total	o 0.5	-1600/890	-	-1400/675	-	-	-	-	-	-
-3.2	-	-10000 FD	paraguay @ bolivia	home_total	u 2.5	1800/-10000	-	2200/-50000	-	-	-	-	-	-
-3.2	-	-190 MGM	paraguay @ bolivia	away_total	u 2.5	158/-205	-	135/-190	-	-	-	-	-	-
-3.2	-	-6000 FD	paraguay @ bolivia	1h_home_total	u 1.5	2400/-6000	-	1900/-20000	-	-	-	-	-	-
-3.2	-	-6000 FD	northern ireland @ slovenia	home_corners	u 9.5	1500/-6000	-	-	-	1900/-8000	-	-	-	-
-3.2	-	-186 FD	malta @ ukraine	away_total	u 0.5	144/-186	'+150/-200	155/-225	-	160/-210	-	143/-195	-	-
-3.2	-	-205 FD	lithuania @ hungary	corners	o 7.5	-205/150	-	-250/155	-	-230/155	-	-250/180	-	-
-3.2	-	-10000 FD	lithuania @ hungary	away_total	u 2.5	1700/-10000	-	2000/-15000	-	2500/-12500	-	-	-	-
-3.2	-	-900 MGM	guyana @ puerto rico	1h_total	u 2.5	630/-1250	-	500/-900	-	-	-	-	-	-
-3.2	-	-130 PB	england @ italy	away_corners	u 5.5	106/-140	-105/-130	105/-155	-	-110/-130	-	108/-157	-	-
-3.2	-	115 MGM	deportivo saprissa @ puntarenas	total	u 2.5	-138/-102	-150/+105	-160/115	-	-	-	-	-	-
-3.3	-	-6000 FD	venezuela @ chile	total	u 5.5	2600/-6000	-	1850/-15000	-	-	-	-	-	-
-3.3	-3.3	-700 MGM	venezuela @ chile	1h_btts	u 	-	-	425/-700	-	-	513/-894	-	-	-
-3.3	-	-325 PB	serbia @ montenegro	corners	o 6.5	-360/250	-	-450/275	-	-325/210	-	-360/245	-	-
-3.3	-	-320 FD	peru @ argentina	corners	u 10.5	225/-320	-	250/-400	-	-	-	-	-	-
-3.3	-	-3000 MGM	lithuania @ hungary	1h_home_total	u 2.5	1480/-3500	-	1050/-3000	-	1300/-3497	-	-	-	-
-3.3	-	-170 DK	haverfordwest @ penybont	home_total	u 1.5	-	'+125/-170	-	'+140/-185	-	-	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-3.3	-3.3	120 MGM	ecuador @ colombia	1h_corners	u 3.5	-	-	-185/120	-	-	-142/113	-	-	-
-3.3	-	-138 FD	deportivo saprissa @ puntarenas	total	o 2.5	-138/-102	-150/+105	-160/115	-	-	-	-	-	-
-3.4	-	-7000 FD	serbia @ montenegro	home_total	u 2.5	1500/-7000	-	1700/-10000	-	2000/-8929	-	2000/-10000	-	-
-3.4	-	-650 MGM	serbia @ montenegro	away_total	u 3.5	520/-850	'+450/-750	400/-650	-	475/-800	-	475/-770	-	-
-3.4	-	-6000 FD	serbia @ montenegro	1h_total	u 3.5	2300/-6000	-	1650/-10000	-	2000/-8929	-	-	-	-
-3.4	-	-165 MGM	san marino @ denmark	total	u 5.5	125/-175	'+140/-175	120/-165	-	-	-	143/-180	-	-
-3.4	-	-3000 MGM	san marino @ denmark	total	o 1.5	-8000/1200	-20000/+1500	-3000/1100	-	-	-	-	-	-
